Game,U_P1,U_P2,Relative Utility (P2 - P1)
common_interest,2,1.66,-0.34
safe_shot,2,1.75,-0.25
strategic_dummy,2,0.84,-1.16
near_dictator,2,0.38,-1.62
costly_punish,2,1.42,-0.58
free_punish,2,1.25,-0.75
rational_punish,2,1.05,-0.95
costly_help,2,0.84,-1.16
free_help,2,0.88,-1.12
trust_game,2,0.84,-1.16
common_interest_1,2,1.66,-0.34
common_interest_2,2,1.7,-0.3
safe_shot_1,2,1.75,-0.25
safe_shot_2,2,1.8,-0.2
strategic_dummy_1,2,0.84,-1.16
near_dictator_1,2,0.52,-1.48
costly_punish_1,2,1.42,-0.58
costly_help_2,2,0.96,-1.04
free_help_2,2,1.12,-0.88
trust_game_2,2,0.96,-1.04
common_interest_A,2,0.84,-1.16
common_interest_B,2,1.93,-0.07
safe_shot_A,2,0.84,-1.16
strategic_dummy_A,2,0.42,-1.58
strategic_dummy_B,2,1.61,-0.39
near_dictator_B,2,1.38,-0.62
rational_punish_A,2,0.34,-1.66
rational_punish_B,2,1.51,-0.49
costly_help_A,2,0.34,-1.66
costly_help_B,2,1.17,-0.83
