Game,U_P1,U_P2,Relative Utility (P2 - P1)
common_interest,0.21,0.78,0.57
safe_shot,0.75,0.16,-0.58
strategic_dummy,0.38,0.0,-0.38
near_dictator,0.17,0.0,-0.17
costly_punish,0.09,-0.05,-0.13
free_punish,0.03,0.0,-0.03
rational_punish,0.0,0.12,0.12
costly_help,0.02,0.04,0.02
free_help,0.0,0.19,0.19
trust_game,0.02,-0.03,-0.05
common_interest_1,0.21,0.06,-0.15
common_interest_2,0.24,0.8,0.56
safe_shot_1,0.75,0.24,-0.51
safe_shot_2,0.8,0.15,-0.65
strategic_dummy_1,0.38,0.0,-0.38
near_dictator_1,0.09,0.29,0.2
costly_punish_1,0.09,-0.09,-0.18
costly_help_2,0.0,0.01,0.01
free_help_2,0.0,0.1,0.09
trust_game_2,0.0,-0.08,-0.08
common_interest_A,0.23,0.0,-0.23
common_interest_B,0.93,1.22,0.29
safe_shot_A,0.69,0.0,-0.69
strategic_dummy_A,0.01,0.0,-0.01
strategic_dummy_B,0.31,0.28,-0.03
near_dictator_B,0.04,0.27,0.23
rational_punish_A,0.2,0.06,-0.14
rational_punish_B,0.23,0.1,-0.13
costly_help_A,0.08,0.0,-0.08
costly_help_B,0.03,0.04,0.01
