Game,U_P1,U_P2,Relative Utility (P2 - P1)
common_interest,0.11,0.11,0.0
safe_shot,0.19,0.5,0.31
strategic_dummy,0.11,0.11,0.0
near_dictator,0.48,0.08,-0.4
costly_punish,0.4,0.31,-0.09
free_punish,0.31,0.41,0.09
rational_punish,0.3,0.48,0.18
costly_help,0.32,0.54,0.22
free_help,0.31,0.03,-0.28
trust_game,0.44,0.54,0.1
common_interest_1,0.29,0.11,-0.18
common_interest_2,0.1,0.38,0.27
safe_shot_1,0.33,0.5,0.16
safe_shot_2,0.17,0.61,0.44
strategic_dummy_1,0.45,0.11,-0.34
near_dictator_1,0.6,0.08,-0.52
costly_punish_1,0.51,0.31,-0.19
costly_help_2,0.29,0.67,0.38
free_help_2,0.26,0.31,0.04
trust_game_2,0.4,0.67,0.28
common_interest_A,0.08,0.08,0.0
common_interest_B,0.07,0.07,0.0
safe_shot_A,0.16,0.16,0.0
strategic_dummy_A,0.05,0.05,0.0
strategic_dummy_B,0.23,0.23,0.0
near_dictator_B,0.27,0.22,-0.05
rational_punish_A,0.12,0.08,-0.04
rational_punish_B,0.29,0.55,0.26
costly_help_A,0.33,0.14,-0.2
costly_help_B,0.33,0.64,0.31
