Game,U_P1,U_P2,Relative Utility (P2 - P1)
common_interest,8.9,8.9,0.0
safe_shot,5.02,8.08,3.06
strategic_dummy,6.21,6.21,0.0
near_dictator,9.18,3.63,-5.55
costly_punish,6.9,5.98,-0.92
free_punish,5.93,6.88,0.95
rational_punish,5.17,7.01,1.84
costly_help,4.6,6.79,2.19
free_help,9.67,6.86,-2.81
trust_game,4.6,5.63,1.03
common_interest_1,8.9,10.61,1.71
common_interest_2,9.37,8.99,-0.38
safe_shot_1,5.02,9.98,4.97
safe_shot_2,5.83,8.31,2.48
strategic_dummy_1,6.21,8.26,2.05
near_dictator_1,9.19,6.0,-3.19
costly_punish_1,6.9,7.42,0.53
costly_help_2,4.9,7.05,2.15
free_help_2,10.42,7.39,-3.03
trust_game_2,4.9,6.02,1.12
common_interest_A,9.21,9.21,0.0
common_interest_B,9.34,9.34,0.0
safe_shot_A,4.21,8.43,4.21
strategic_dummy_A,7.58,7.58,0.0
strategic_dummy_B,5.38,5.38,0.0
near_dictator_B,11.66,7.3,-4.36
rational_punish_A,9.19,13.16,3.97
rational_punish_B,4.51,4.99,0.48
costly_help_A,4.32,6.69,2.37
costly_help_B,3.61,6.67,3.06
