ID	Game	Power	P1_Expectation	P2_Expectation
32xrkb531common_interest_124880
32xrkb531	common_interest_2	90	100	0
32xrkb531	costly_help_2	13	9	96
32xrkb531	costly_punish_1	50	80	23
32xrkb531	free_help_2	100	100	5
32xrkb531	near_dictator_1	0	0	0
32xrkb531	safe_shot_1	100	100	0
32xrkb531	safe_shot_2	100	100	100
32xrkb531	strategic_dummy_1	50	100	50
32xrkb531	trust_game_2	39	22	92
4r8fzefab	common_interest_1	60	33	66
4r8fzefab	common_interest_2	88	9	77
4r8fzefab	costly_help_2	25	74	26
4r8fzefab	costly_punish_1	95	24	72
4r8fzefab	free_help_2	30	13	28
4r8fzefab	near_dictator_1	78	27	77
4r8fzefab	safe_shot_1	76	23	77
4r8fzefab	safe_shot_2	28	93	76
4r8fzefab	strategic_dummy_1	70	24	53
4r8fzefab	trust_game_2	90	77	81
5kmgv142r	common_interest_1	100	99	1
5kmgv142r	common_interest_2	50	100	0
5kmgv142r	costly_help_2	29	4	98
5kmgv142r	costly_punish_1	74	87	16
5kmgv142r	free_help_2	23	65	3
5kmgv142r	near_dictator_1	0	1	1
5kmgv142r	safe_shot_1	89	100	99
5kmgv142r	safe_shot_2	94	100	1
5kmgv142r	strategic_dummy_1	29	99	50
5kmgv142r	trust_game_2	12	14	96
727fa19f0	common_interest_1	24	75	0
727fa19f0	common_interest_2	50	100	6
727fa19f0	costly_help_2	100	63	75
727fa19f0	costly_punish_1	24	76	25
727fa19f0	free_help_2	85	100	24
727fa19f0	near_dictator_1	0	40	0
727fa19f0	safe_shot_1	26	96	9
727fa19f0	safe_shot_2	75	92	37
727fa19f0	strategic_dummy_1	0	75	50
727fa19f0	trust_game_2	75	75	75
cekgcay0u	common_interest_1	28	100	0
cekgcay0u	common_interest_2	23	100	0
cekgcay0u	costly_help_2	22	50	81
cekgcay0u	costly_punish_1	32	89	0
cekgcay0u	free_help_2	38	83	0
cekgcay0u	near_dictator_1	4	3	0
cekgcay0u	safe_shot_1	28	100	0
cekgcay0u	safe_shot_2	100	100	25
cekgcay0u	strategic_dummy_1	25	100	50
cekgcay0u	trust_game_2	30	61	84
e1g5y661m	common_interest_1	14	87	0
e1g5y661m	common_interest_2	90	88	16
e1g5y661m	costly_help_2	41	86	66
e1g5y661m	costly_punish_1	19	100	0
e1g5y661m	free_help_2	75	87	0
e1g5y661m	near_dictator_1	16	13	0
e1g5y661m	safe_shot_1	100	100	0
e1g5y661m	safe_shot_2	97	100	21
e1g5y661m	strategic_dummy_1	51	100	51
e1g5y661m	trust_game_2	82	85	75
eaymn4qp9	common_interest_1	22	95	2
eaymn4qp9	common_interest_2	32	100	0
eaymn4qp9	costly_help_2	30	14	95
eaymn4qp9	costly_punish_1	5	12	11
eaymn4qp9	free_help_2	8	92	5
eaymn4qp9	near_dictator_1	17	3	2
eaymn4qp9	safe_shot_1	96	100	3
eaymn4qp9	safe_shot_2	86	100	13
eaymn4qp9	strategic_dummy_1	0	98	50
eaymn4qp9	trust_game_2	59	18	96
g1z4x7ea6	common_interest_1	71	74	0
g1z4x7ea6	common_interest_2	85	87	0
g1z4x7ea6	costly_help_2	65	76	82
g1z4x7ea6	costly_punish_1	16	10	0
g1z4x7ea6	free_help_2	65	100	0
g1z4x7ea6	near_dictator_1	0	12	0
g1z4x7ea6	safe_shot_1	100	100	13
g1z4x7ea6	safe_shot_2	77	100	14
g1z4x7ea6	strategic_dummy_1	0	76	50
g1z4x7ea6	trust_game_2	74	76	85
j3cue9zat	common_interest_1	16	15	0
j3cue9zat	common_interest_2	83	89	4
j3cue9zat	costly_help_2	84	23	87
j3cue9zat	costly_punish_1	85	13	9
j3cue9zat	free_help_2	41	69	0
j3cue9zat	near_dictator_1	26	2	0
j3cue9zat	safe_shot_1	83	100	0
j3cue9zat	safe_shot_2	87	100	2
j3cue9zat	strategic_dummy_1	50	100	50
j3cue9zat	trust_game_2	50	11	100
j5278cymc	common_interest_1	76	69	27
j5278cymc	common_interest_2	90	33	76
j5278cymc	costly_help_2	96	68	29
j5278cymc	costly_punish_1	79	76	34
j5278cymc	free_help_2	92	26	28
j5278cymc	near_dictator_1	100	78	86
j5278cymc	safe_shot_1	89	69	61
j5278cymc	safe_shot_2	96	23	73
j5278cymc	strategic_dummy_1	9	25	68
j5278cymc	trust_game_2	84	31	59
jjc2xl4fm	common_interest_1	92	81	1
jjc2xl4fm	common_interest_2	50	74	13
jjc2xl4fm	costly_help_2	50	14	87
jjc2xl4fm	costly_punish_1	81	81	25
jjc2xl4fm	free_help_2	18	16	12
jjc2xl4fm	near_dictator_1	17	19	5
jjc2xl4fm	safe_shot_1	84	98	15
jjc2xl4fm	safe_shot_2	67	72	2
jjc2xl4fm	strategic_dummy_1	79	81	32
jjc2xl4fm	trust_game_2	3	82	87
jorau3jfy	common_interest_1	72	64	65
jorau3jfy	common_interest_2	63	62	62
jorau3jfy	costly_help_2	67	62	64
jorau3jfy	costly_punish_1	73	63	44
jorau3jfy	free_help_2	62	47	65
jorau3jfy	near_dictator_1	29	37	37
jorau3jfy	safe_shot_1	68	63	67
jorau3jfy	safe_shot_2	77	65	66
jorau3jfy	strategic_dummy_1	70	66	67
jorau3jfy	trust_game_2	27	75	74
lptpxgnsb	common_interest_1	75	75	0
lptpxgnsb	common_interest_2	75	100	0
lptpxgnsb	costly_help_2	0	25	100
lptpxgnsb	costly_punish_1	24	25	25
lptpxgnsb	free_help_2	0	100	0
lptpxgnsb	near_dictator_1	0	0	0
lptpxgnsb	safe_shot_1	100	100	0
lptpxgnsb	safe_shot_2	100	100	0
lptpxgnsb	strategic_dummy_1	50	100	50
lptpxgnsb	trust_game_2	0	0	100
mhs0h34u0	common_interest_1	26	81	0
mhs0h34u0	common_interest_2	72	35	58
mhs0h34u0	costly_help_2	38	61	68
mhs0h34u0	costly_punish_1	66	62	18
mhs0h34u0	free_help_2	2	99	19
mhs0h34u0	near_dictator_1	5	21	16
mhs0h34u0	safe_shot_1	97	100	19
mhs0h34u0	safe_shot_2	98	100	20
mhs0h34u0	strategic_dummy_1	24	100	50
mhs0h34u0	trust_game_2	65	62	73
n7tn657yv	common_interest_1	69	72	0
n7tn657yv	common_interest_2	50	100	0
n7tn657yv	costly_help_2	50	26	100
n7tn657yv	costly_punish_1	15	75	24
n7tn657yv	free_help_2	0	100	0
n7tn657yv	near_dictator_1	0	0	0
n7tn657yv	safe_shot_1	100	100	0
n7tn657yv	safe_shot_2	63	100	0
n7tn657yv	strategic_dummy_1	0	100	50
n7tn657yv	trust_game_2	15	9	100
nzw76r908	common_interest_1	100	100	0
nzw76r908	common_interest_2	78	89	0
nzw76r908	costly_help_2	50	21	73
nzw76r908	costly_punish_1	100	89	0
nzw76r908	free_help_2	100	62	0
nzw76r908	near_dictator_1	23	30	74
nzw76r908	safe_shot_1	100	100	78
nzw76r908	safe_shot_2	100	100	22
nzw76r908	strategic_dummy_1	100	100	50
nzw76r908	trust_game_2	73	68	29
pck3gnjyk	common_interest_1	76	79	0
pck3gnjyk	common_interest_2	21	100	0
pck3gnjyk	costly_help_2	72	90	100
pck3gnjyk	costly_punish_1	68	90	0
pck3gnjyk	free_help_2	26	100	0
pck3gnjyk	near_dictator_1	0	16	0
pck3gnjyk	safe_shot_1	100	100	0
pck3gnjyk	safe_shot_2	76	100	0
pck3gnjyk	strategic_dummy_1	0	100	50
pck3gnjyk	trust_game_2	73	35	67
t74zk1y1n	common_interest_1	19	99	0
t74zk1y1n	common_interest_2	22	100	0
t74zk1y1n	costly_help_2	15	20	99
t74zk1y1n	costly_punish_1	74	4	0
t74zk1y1n	free_help_2	0	96	0
t74zk1y1n	near_dictator_1	24	0	0
t74zk1y1n	safe_shot_1	94	100	0
t74zk1y1n	safe_shot_2	25	100	3
