"ID","Game","Power","P1_Expectation","P2_Expectation"
"09c6th44q","common_interest_A",51,75,24
"09c6th44q","common_interest_B",92,5,0
"09c6th44q","costly_help_A",91,11,96
"09c6th44q","costly_help_B",51,73,97
"09c6th44q","near_dictator_B",4,87,91
"09c6th44q","rational_punish_A",24,99,99
"09c6th44q","rational_punish_B",34,71,96
"09c6th44q","safe_shot_A",96,9,3
"09c6th44q","strategic_dummy_A",50,79,50
"09c6th44q","strategic_dummy_B",50,76,97
"14vgkgt9o","common_interest_A",0,100,50
"14vgkgt9o","common_interest_B",50,100,0
"14vgkgt9o","costly_help_A",0,11,50
"14vgkgt9o","costly_help_B",74,81,92
"14vgkgt9o","near_dictator_B",75,94,0
"14vgkgt9o","rational_punish_A",4,1,4
"14vgkgt9o","rational_punish_B",82,95,3
"14vgkgt9o","safe_shot_A",50,100,50
"14vgkgt9o","strategic_dummy_A",0,0,50
"14vgkgt9o","strategic_dummy_B",75,98,100
"2peghkj92","common_interest_A",25,100,50
"2peghkj92","common_interest_B",19,100,0
"2peghkj92","costly_help_A",23,19,50
"2peghkj92","costly_help_B",20,85,64
"2peghkj92","near_dictator_B",25,81,0
"2peghkj92","rational_punish_A",19,0,36
"2peghkj92","rational_punish_B",40,76,36
"2peghkj92","safe_shot_A",22,100,50
"2peghkj92","strategic_dummy_A",25,0,50
"2peghkj92","strategic_dummy_B",21,100,100
"2xenfngez","common_interest_A",25,100,50
"2xenfngez","common_interest_B",87,100,0
"2xenfngez","costly_help_A",9,25,50
"2xenfngez","costly_help_B",97,100,59
"2xenfngez","near_dictator_B",91,89,0
"2xenfngez","rational_punish_A",0,0,45
"2xenfngez","rational_punish_B",75,74,23
"2xenfngez","safe_shot_A",100,100,50
"2xenfngez","strategic_dummy_A",3,0,50
"2xenfngez","strategic_dummy_B",89,100,100
"46adhk9zj","common_interest_A",0,0,50
"46adhk9zj","common_interest_B",100,100,0
"46adhk9zj","costly_help_A",0,0,49
"46adhk9zj","costly_help_B",0,66,0
"46adhk9zj","near_dictator_B",0,0,14
"46adhk9zj","rational_punish_A",0,0,0
"46adhk9zj","rational_punish_B",0,100,0
"46adhk9zj","safe_shot_A",0,100,49
"46adhk9zj","strategic_dummy_A",0,0,50
"46adhk9zj","strategic_dummy_B",24,0,100
"4k19pnvzc","common_interest_A",50,100,50
"4k19pnvzc","common_interest_B",89,100,0
"4k19pnvzc","costly_help_A",31,0,50
"4k19pnvzc","costly_help_B",85,91,78
"4k19pnvzc","near_dictator_B",37,77,0
"4k19pnvzc","rational_punish_A",39,0,17
"4k19pnvzc","rational_punish_B",63,100,17
"4k19pnvzc","safe_shot_A",29,100,50
"4k19pnvzc","strategic_dummy_A",50,0,50
"4k19pnvzc","strategic_dummy_B",77,100,100
"5x6s8ppws","common_interest_A",50,50,74
"5x6s8ppws","common_interest_B",50,50,50
"5x6s8ppws","costly_help_A",22,29,76
"5x6s8ppws","costly_help_B",5,4,0
"5x6s8ppws","near_dictator_B",100,81,89
"5x6s8ppws","rational_punish_A",77,100,96
"5x6s8ppws","rational_punish_B",26,26,23
"5x6s8ppws","safe_shot_A",4,23,47
"5x6s8ppws","strategic_dummy_A",50,50,50
"5x6s8ppws","strategic_dummy_B",49,50,50
"5z2l91qb6","common_interest_A",50,100,50
"5z2l91qb6","common_interest_B",73,100,0
"5z2l91qb6","costly_help_A",100,0,49
"5z2l91qb6","costly_help_B",77,76,100
"5z2l91qb6","near_dictator_B",27,100,0
"5z2l91qb6","rational_punish_A",0,0,0
"5z2l91qb6","rational_punish_B",0,74,0
"5z2l91qb6","safe_shot_A",70,100,51
"5z2l91qb6","strategic_dummy_A",50,0,50
"5z2l91qb6","strategic_dummy_B",49,93,100
"604t6xba3","common_interest_A",49,78,50
"604t6xba3","common_interest_B",100,95,0
"604t6xba3","costly_help_A",82,21,49
"604t6xba3","costly_help_B",85,95,92
"604t6xba3","near_dictator_B",24,26,24
"604t6xba3","rational_punish_A",22,15,22
"604t6xba3","rational_punish_B",29,5,23
"604t6xba3","safe_shot_A",99,100,50
"604t6xba3","strategic_dummy_A",49,21,51
"604t6xba3","strategic_dummy_B",78,86,94
"85e3sw62p","common_interest_A",51,100,50
"85e3sw62p","common_interest_B",100,100,100
"85e3sw62p","costly_help_A",0,30,50
"85e3sw62p","costly_help_B",90,100,100
"85e3sw62p","near_dictator_B",48,25,27
"85e3sw62p","rational_punish_A",0,0,0
"85e3sw62p","rational_punish_B",51,99,37
"85e3sw62p","safe_shot_A",81,100,13
"85e3sw62p","strategic_dummy_A",50,0,0
"85e3sw62p","strategic_dummy_B",77,100,100
"91khfch1h","common_interest_A",75,100,50
"91khfch1h","common_interest_B",50,75,0
"91khfch1h","costly_help_A",25,25,50
"91khfch1h","costly_help_B",77,76,86
"91khfch1h","near_dictator_B",0,27,0
"91khfch1h","rational_punish_A",0,27,27
"91khfch1h","rational_punish_B",50,77,26
"91khfch1h","safe_shot_A",27,76,51
"91khfch1h","strategic_dummy_A",0,0,51
"91khfch1h","strategic_dummy_B",76,76,100
"993spvrb1","common_interest_A",91,90,50
"993spvrb1","common_interest_B",88,95,1
"993spvrb1","costly_help_A",96,24,51
"993spvrb1","costly_help_B",90,80,22
"993spvrb1","near_dictator_B",25,77,26
"993spvrb1","rational_punish_A",9,71,19
"993spvrb1","rational_punish_B",77,90,83
"993spvrb1","safe_shot_A",92,90,55
"993spvrb1","strategic_dummy_A",26,27,49
"993spvrb1","strategic_dummy_B",80,92,91
"9lesktw6l","common_interest_A",25,100,50
"9lesktw6l","common_interest_B",50,100,0
"9lesktw6l","costly_help_A",24,27,50
"9lesktw6l","costly_help_B",80,100,94
"9lesktw6l","near_dictator_B",38,97,0
"9lesktw6l","rational_punish_A",42,0,36
"9lesktw6l","rational_punish_B",100,94,43
"9lesktw6l","safe_shot_A",39,100,50
"9lesktw6l","strategic_dummy_A",0,0,50
"9lesktw6l","strategic_dummy_B",94,100,100
"a90mk0xvx","common_interest_A",86,93,44
"a90mk0xvx","common_interest_B",93,84,22
"a90mk0xvx","costly_help_A",17,82,25
"a90mk0xvx","costly_help_B",73,29,91
"a90mk0xvx","near_dictator_B",92,94,30
"a90mk0xvx","rational_punish_A",11,80,26
"a90mk0xvx","rational_punish_B",81,81,87
"a90mk0xvx","safe_shot_A",97,88,83
"a90mk0xvx","strategic_dummy_A",3,95,74
"a90mk0xvx","strategic_dummy_B",81,82,80
"aqr6z5a53","common_interest_A",18,99,50
"aqr6z5a53","common_interest_B",79,100,0
"aqr6z5a53","costly_help_A",20,13,50
"aqr6z5a53","costly_help_B",76,80,96
"aqr6z5a53","near_dictator_B",27,73,16
"aqr6z5a53","rational_punish_A",5,18,16
"aqr6z5a53","rational_punish_B",78,95,14
"aqr6z5a53","safe_shot_A",83,100,50
"aqr6z5a53","strategic_dummy_A",21,5,50
"aqr6z5a53","strategic_dummy_B",25,83,90
"b857qvp5x","common_interest_A",0,50,50
"b857qvp5x","common_interest_B",0,100,0
"b857qvp5x","costly_help_A",0,0,50
"b857qvp5x","costly_help_B",0,77,0
"b857qvp5x","near_dictator_B",0,23,0
"b857qvp5x","rational_punish_A",0,0,22
"b857qvp5x","rational_punish_B",0,100,0
"b857qvp5x","safe_shot_A",0,100,50
"b857qvp5x","strategic_dummy_A",0,0,49
"b857qvp5x","strategic_dummy_B",0,100,100
"cco77az77","common_interest_A",0,100,50
"cco77az77","common_interest_B",50,100,0
"cco77az77","costly_help_A",0,0,50
"cco77az77","costly_help_B",50,100,93
"cco77az77","near_dictator_B",42,59,22
"cco77az77","rational_punish_A",43,0,0
"cco77az77","rational_punish_B",70,100,0
"cco77az77","safe_shot_A",100,100,50
"cco77az77","strategic_dummy_A",0,0,50
"cco77az77","strategic_dummy_B",25,100,100
"cfa7yl8hm","common_interest_A",27,50,50
"cfa7yl8hm","common_interest_B",64,70,21
"cfa7yl8hm","costly_help_A",25,70,50
"cfa7yl8hm","costly_help_B",27,50,94
"cfa7yl8hm","near_dictator_B",23,1,44
"cfa7yl8hm","rational_punish_A",39,67,34
"cfa7yl8hm","rational_punish_B",70,70,19
"cfa7yl8hm","safe_shot_A",74,74,50
"cfa7yl8hm","strategic_dummy_A",26,25,50
"cfa7yl8hm","strategic_dummy_B",27,75,74
"esjv5ud66","common_interest_A",0,100,50
"esjv5ud66","common_interest_B",98,98,0
"esjv5ud66","costly_help_A",7,6,50
"esjv5ud66","costly_help_B",74,77,95
"esjv5ud66","near_dictator_B",9,13,9
"esjv5ud66","rational_punish_A",5,1,5
"esjv5ud66","rational_punish_B",95,86,16
"esjv5ud66","safe_shot_A",79,94,50
"esjv5ud66","strategic_dummy_A",26,0,50
"esjv5ud66","strategic_dummy_B",26,95,95
"fgo6tb2sa","common_interest_A",0,100,50
"fgo6tb2sa","common_interest_B",100,100,0
"fgo6tb2sa","costly_help_A",7,33,50
"fgo6tb2sa","costly_help_B",96,100,70
"fgo6tb2sa","near_dictator_B",79,50,0
"fgo6tb2sa","rational_punish_A",20,0,7
"fgo6tb2sa","rational_punish_B",61,82,14
"fgo6tb2sa","safe_shot_A",0,100,50
"fgo6tb2sa","strategic_dummy_A",0,0,50
"fgo6tb2sa","strategic_dummy_B",94,100,100
"fm8yxkov1","common_interest_A",95,100,50
"fm8yxkov1","common_interest_B",96,97,0
"fm8yxkov1","costly_help_A",25,19,50
"fm8yxkov1","costly_help_B",96,100,99
"fm8yxkov1","near_dictator_B",0,50,2
"fm8yxkov1","rational_punish_A",5,5,27
"fm8yxkov1","rational_punish_B",74,74,25
"fm8yxkov1","safe_shot_A",100,100,50
"fm8yxkov1","strategic_dummy_A",50,23,50
"fm8yxkov1","strategic_dummy_B",100,100,100
