"Game","Mean_Power","SD_Power","Mean_P1_Expectation","SD_P1_Expectation","Mean_P2_Expectation","SD_P2_Expectation"
"common_interest",48.5227272727273,31.0988586019245,75.8181818181818,26.2326556008565,6.11363636363637,15.2211846085628
"common_interest_1",52.4615384615385,27.9782304036231,72.6666666666667,24.4102365642533,6.58974358974359,16.943742749274
"common_interest_2",49.5384615384615,28.0608794492544,79.4358974358974,25.313606567672,14.5641025641026,26.5813496863327
"costly_help",50.25,29.8111302766617,38.1590909090909,26.6998329250222,85.0909090909091,15.9779181660746
"costly_help_2",49.5128205128205,27.7117415689221,44.5384615384615,28.8825627178372,79.9230769230769,20.5456931270978
"costly_punish",37.1363636363636,27.1983163886356,65.9545454545455,26.3491357657616,25.7954545454545,29.7724545280666
"costly_punish_1",46.051282051282,29.3041659674855,58.5384615384615,30.1180538214524,15.2564102564103,19.522885287081
"free_help",26.0227272727273,28.1858356612659,37.9090909090909,32.2077689470985,8.43181818181818,16.6068040514538
"free_help_2",36.8974358974359,30.9768970548552,74.5641025641026,26.5417197632181,15.8717948717949,23.8174852700363
"free_punish",48.2045454545455,29.8278623807873,54.25,25.7665052092377,45.0909090909091,33.3946230052977
"near_dictator",14.2727272727273,19.1934625938754,19.3409090909091,26.3553032321136,78.3636363636364,25.6887369302968
"near_dictator_1",17.2820512820513,22.7155739734806,18.7179487179487,23.5717814322982,13.6153846153846,24.3371228077336
"rational_punish",48.1818181818182,30.4503199870709,50.3863636363636,30.6109996259066,23.4090909090909,25.2497461942742
"safe_shot",69.0454545454545,35.4780997272078,91.0681818181818,23.2122639270136,20.6136363636364,26.9661423451886
"safe_shot_1",75.4358974358974,31.6300946566589,91.1025641025641,20.9658806432522,23.3589743589744,30.7874608613442
"safe_shot_2",76,26.2808715709033,90.6666666666667,21.9536992846468,21.3076923076923,26.3799703185598
"strategic_dummy",34.2954545454545,29.45282356698,87.5227272727273,25.0974738248495,51.4090909090909,5.69503325762869
"strategic_dummy_1",45.6153846153846,32.7057176593228,87.7692307692308,17.9889754812884,51.6153846153846,9.90113067603733
"trust_game",39.0909090909091,29.7491982943126,36.7272727272727,27.899623767042,74.0227272727273,31.0988586019245
"trust_game_2",51.7692307692308,27.9496366029116,48.6410256410256,30.6855762271798,83,18.4861256650836
